DATE,SMU48191004200000001
1990-01-01,251.2
1990-02-01,247.7
1990-03-01,249.4
1990-04-01,248.8
1990-05-01,249.8
1990-06-01,253.0
1990-07-01,252.6
1990-08-01,253.1
1990-09-01,252.2
1990-10-01,253.9
1990-11-01,260.6
1990-12-01,266.1
1991-01-01,248.3
1991-02-01,242.7
1991-03-01,244.0
1991-04-01,243.5
1991-05-01,244.9
1991-06-01,247.1
1991-07-01,247.3
1991-08-01,248.7
1991-09-01,248.6
1991-10-01,250.1
1991-11-01,255.7
1991-12-01,261.1
1992-01-01,245.5
1992-02-01,241.9
1992-03-01,241.5
1992-04-01,244.5
1992-05-01,245.6
1992-06-01,247.0
1992-07-01,247.7
1992-08-01,247.8
1992-09-01,248.3
1992-10-01,250.4
1992-11-01,256.4
1992-12-01,262.1
1993-01-01,248.7
1993-02-01,245.7
1993-03-01,245.7
1993-04-01,247.8
1993-05-01,246.5
1993-06-01,248.1
1993-07-01,252.5
1993-08-01,254.1
1993-09-01,253.2
1993-10-01,255.6
1993-11-01,262.8
1993-12-01,269.3
1994-01-01,255.3
1994-02-01,252.1
1994-03-01,252.1
1994-04-01,255.8
1994-05-01,258.1
1994-06-01,261.2
1994-07-01,260.0
1994-08-01,262.8
1994-09-01,264.6
1994-10-01,267.4
1994-11-01,275.2
1994-12-01,282.4
1995-01-01,267.5
1995-02-01,265.5
1995-03-01,266.8
1995-04-01,265.7
1995-05-01,267.7
1995-06-01,270.4
1995-07-01,269.9
1995-08-01,271.9
1995-09-01,272.1
1995-10-01,275.0
1995-11-01,285.4
1995-12-01,292.0
1996-01-01,277.0
1996-02-01,273.2
1996-03-01,274.6
1996-04-01,275.2
1996-05-01,277.3
1996-06-01,280.4
1996-07-01,278.4
1996-08-01,279.9
1996-09-01,279.6
1996-10-01,282.5
1996-11-01,291.6
1996-12-01,299.3
1997-01-01,282.6
1997-02-01,278.4
1997-03-01,279.9
1997-04-01,280.6
1997-05-01,283.2
1997-06-01,285.3
1997-07-01,283.4
1997-08-01,285.7
1997-09-01,285.4
1997-10-01,289.7
1997-11-01,298.4
1997-12-01,306.3
1998-01-01,289.7
1998-02-01,286.3
1998-03-01,288.4
1998-04-01,288.3
1998-05-01,289.2
1998-06-01,291.5
1998-07-01,291.8
1998-08-01,293.6
1998-09-01,294.6
1998-10-01,297.5
1998-11-01,307.7
1998-12-01,316.3
1999-01-01,300.0
1999-02-01,298.0
1999-03-01,299.6
1999-04-01,301.2
1999-05-01,302.2
1999-06-01,306.0
1999-07-01,305.3
1999-08-01,307.4
1999-09-01,308.0
1999-10-01,313.1
1999-11-01,323.1
1999-12-01,332.6
2000-01-01,315.0
2000-02-01,313.4
2000-03-01,314.1
2000-04-01,312.6
2000-05-01,315.3
2000-06-01,320.1
2000-07-01,320.3
2000-08-01,324.5
2000-09-01,323.4
2000-10-01,327.3
2000-11-01,338.2
2000-12-01,346.9
2001-01-01,328.8
2001-02-01,324.4
2001-03-01,326.3
2001-04-01,325.2
2001-05-01,325.0
2001-06-01,326.4
2001-07-01,325.0
2001-08-01,326.8
2001-09-01,326.5
2001-10-01,325.8
2001-11-01,332.2
2001-12-01,337.5
2002-01-01,321.9
2002-02-01,318.3
2002-03-01,318.4
2002-04-01,317.4
2002-05-01,317.2
2002-06-01,317.1
2002-07-01,317.4
2002-08-01,317.3
2002-09-01,314.9
2002-10-01,313.3
2002-11-01,320.6
2002-12-01,327.9
2003-01-01,307.4
2003-02-01,302.9
2003-03-01,302.1
2003-04-01,299.3
2003-05-01,298.9
2003-06-01,298.5
2003-07-01,297.3
2003-08-01,301.5
2003-09-01,300.3
2003-10-01,302.4
2003-11-01,310.0
2003-12-01,315.0
2004-01-01,298.6
2004-02-01,296.0
2004-03-01,298.1
2004-04-01,298.6
2004-05-01,301.0
2004-06-01,301.4
2004-07-01,302.5
2004-08-01,307.0
2004-09-01,304.2
2004-10-01,306.9
2004-11-01,317.2
2004-12-01,322.9
2005-01-01,306.0
2005-02-01,302.3
2005-03-01,304.2
2005-04-01,305.4
2005-05-01,306.7
2005-06-01,309.3
2005-07-01,310.2
2005-08-01,313.0
2005-09-01,311.6
2005-10-01,313.2
2005-11-01,325.6
2005-12-01,331.6
2006-01-01,313.7
2006-02-01,309.5
2006-03-01,312.2
2006-04-01,312.3
2006-05-01,313.3
2006-06-01,313.7
2006-07-01,312.1
2006-08-01,314.5
2006-09-01,310.9
2006-10-01,312.1
2006-11-01,323.7
2006-12-01,329.1
2007-01-01,313.2
2007-02-01,309.3
2007-03-01,313.0
2007-04-01,312.2
2007-05-01,312.9
2007-06-01,314.1
2007-07-01,315.3
2007-08-01,316.2
2007-09-01,314.3
2007-10-01,317.4
2007-11-01,328.7
2007-12-01,334.1
2008-01-01,318.8
2008-02-01,315.6
2008-03-01,317.8
2008-04-01,314.7
2008-05-01,315.7
2008-06-01,317.1
2008-07-01,317.8
2008-08-01,319.6
2008-09-01,315.3
2008-10-01,316.6
2008-11-01,321.6
2008-12-01,325.7
2009-01-01,309.0
2009-02-01,303.9
2009-03-01,304.1
2009-04-01,302.0
2009-05-01,302.6
2009-06-01,302.2
2009-07-01,301.8
2009-08-01,303.3
2009-09-01,301.3
2009-10-01,303.0
2009-11-01,309.7
2009-12-01,314.7
2010-01-01,300.7
2010-02-01,297.5
2010-03-01,300.8
2010-04-01,302.6
2010-05-01,304.7
2010-06-01,305.8
2010-07-01,304.7
2010-08-01,306.9
2010-09-01,304.3
2010-10-01,308.3
2010-11-01,317.2
2010-12-01,322.4
2011-01-01,306.6
2011-02-01,302.6
2011-03-01,305.8
2011-04-01,309.4
2011-05-01,309.9
2011-06-01,311.5
2011-07-01,312.9
2011-08-01,316.4
2011-09-01,313.9
2011-10-01,317.4
2011-11-01,327.1
2011-12-01,332.0
2012-01-01,317.0
2012-02-01,313.1
2012-03-01,314.8
2012-04-01,315.1
2012-05-01,316.9
2012-06-01,318.9
2012-07-01,318.8
2012-08-01,321.6
2012-09-01,318.8
2012-10-01,322.9
2012-11-01,336.4
2012-12-01,338.6
2013-01-01,322.2
2013-02-01,320.2
2013-03-01,320.4
2013-04-01,322.6
2013-05-01,324.6
2013-06-01,327.4
2013-07-01,327.8
2013-08-01,332.4
2013-09-01,330.8
2013-10-01,334.7
2013-11-01,348.1
2013-12-01,351.8
2014-01-01,334.5
2014-02-01,331.8
2014-03-01,333.4
2014-04-01,334.4
2014-05-01,336.1
2014-06-01,339.6
2014-07-01,339.9
2014-08-01,343.0
2014-09-01,340.7
2014-10-01,345.2
2014-11-01,358.1
2014-12-01,364.1
2015-01-01,348.0
2015-02-01,346.4
2015-03-01,346.6
2015-04-01,350.1
2015-05-01,352.5
2015-06-01,355.9
2015-07-01,357.4
2015-08-01,359.4
2015-09-01,357.7
2015-10-01,363.3
2015-11-01,373.1
2015-12-01,378.1
2016-01-01,360.1
2016-02-01,358.2
2016-03-01,358.7
2016-04-01,361.6
2016-05-01,362.1
2016-06-01,363.9
2016-07-01,366.5
2016-08-01,369.0
2016-09-01,364.6
2016-10-01,370.9
2016-11-01,382.8
2016-12-01,387.3
2017-01-01,371.2
2017-02-01,366.5
2017-03-01,366.4
2017-04-01,367.7
2017-05-01,367.9
2017-06-01,371.2
2017-07-01,370.9
2017-08-01,373.7
2017-09-01,369.6
2017-10-01,375.5
2017-11-01,390.5
2017-12-01,392.8
2018-01-01,375.0
2018-02-01,369.9
2018-03-01,369.6
2018-04-01,370.1
2018-05-01,372.0
2018-06-01,372.9
2018-07-01,374.3
2018-08-01,376.1
2018-09-01,373.3
2018-10-01,375.8
2018-11-01,389.1
2018-12-01,391.5
2019-01-01,373.9
2019-02-01,368.5
2019-03-01,368.2
2019-04-01,367.0
2019-05-01,367.1
2019-06-01,369.3
2019-07-01,371.2
2019-08-01,372.3
2019-09-01,370.1
2019-10-01,376.5
2019-11-01,389.1
2019-12-01,391.8
2020-01-01,373.2
2020-02-01,370.9
2020-03-01,370.6
2020-04-01,321.4
2020-05-01,335.3
2020-06-01,354.5
